ind,cs,w,r2,peak
3,1,0.278469694559438,0.830284580941411,1.09154929577465
3,2,0.359681843675645,0.723644031693476,1.23509933774834
3,3,0.262597506731509,0.849391349648922,1.0625
3,1,0.279631689159456,0.824914031387949,1.07380073800738
3,2,0.359317995447558,0.724225446354229,1.18214285714286
3,3,0.293728940883742,0.810147820919994,1.09677419354839
3,1,0.30014980271136,0.805126706227816,1.14070351758794
3,2,0.348739888507064,0.732913295942807,1.18303571428571
3,3,0.321197479405383,0.78310533907083,1.08928571428571
3,1,0.28901944726325,0.815984042575378,1.12299465240642
3,2,0.336166033252505,0.752377247937833,1.16336633663366
3,3,0.27855183051129,0.830534838907837,1.07246376811594
3,1,0.314474383029184,0.783259094654062,1.14925373134328
3,2,0.364378212444645,0.704381603204313,1.29496402877698
3,3,0.306279954682665,0.787874826101773,1.09271523178808
3,1,0.300830578903907,0.793048034394811,1.13157894736842
3,2,0.334526500902604,0.743343312168641,1.23312883435583
3,3,0.301770435976295,0.788743550577209,1.08928571428571
5,1,0.359777090526117,0.697620268382883,1.21666666666667
5,2,0.349517680360024,0.725060150969152,1.19557195571956
5,3,0.333760452924996,0.759642416756583,1.19191919191919
5,1,0.364604018562693,0.705102711817264,1.21808510638298
5,2,0.394725982058493,0.658496101357106,1.23443223443223
5,3,0.357022321750669,0.707579318832131,1.175
5,1,0.369032752596452,0.707059324949661,1.26666666666667
5,2,0.394933642166,0.665431736430795,1.31413612565445
5,3,0.353353540632561,0.726828222489761,1.27407407407407
5,1,0.392478463953568,0.68860524187834,1.14465408805031
5,2,0.492528042307683,0.587114303893928,1.19444444444444
5,3,0.388335835667905,0.679907827854411,1.31137724550898
5,1,0.315941539415341,0.784726463387388,1.28169014084507
5,2,0.409993261873366,0.634685881965821,1.65263157894737
5,3,0.358266049635398,0.695969398314342,1.66666666666667
5,1,0.321985940962494,0.762643173141498,1.30337078651685
5,2,0.419759270924147,0.611115024796003,1.61467889908257
5,3,0.332920822676662,0.750755125349061,1.41176470588235
6,1,0.321590060303566,0.77975811533448,1.13063063063063
6,2,0.378709871134033,0.686626688704517,1.27777777777778
6,3,0.336538261895027,0.744681724491153,1.11946902654867
6,1,0.3068424334806,0.799835659806486,1.11063829787234
6,2,0.377693834496609,0.690992433289325,1.25352112676056
6,3,0.3346476425102,0.745794496850823,1.13414634146341
6,1,0.323967669567249,0.772466429353755,1.14367816091954
6,2,0.352489391426938,0.721655362215928,1.26339285714286
6,3,0.324860248641734,0.757272011857825,1.17032967032967
6,1,0.287003147618897,0.811338289034339,1.09467455621302
6,2,0.355998147155729,0.71958070083904,1.27184466019417
6,3,0.346225359178525,0.731129448974677,1.15
6,1,0.479197054331175,0.54043397956084,2.16129032258065
6,2,0.501341502271582,0.531007027370078,2.66666666666667
6,3,0.642421326757248,0.383617008766127,1.71698113207547
6,1,0.397193267629475,0.642969000742466,2.1304347826087
6,2,0.441840188097775,0.606723457673021,2.04838709677419
6,3,0.517668252989113,0.565308092754957,1.53846153846154
8,1,0.345373751538815,0.740174650919108,1.15625
8,2,0.351946168010313,0.733143892767215,1.15217391304348
8,3,0.469554794157233,0.624149671890627,1.23493975903614
8,1,0.366752525659304,0.717002961682077,1.21343873517787
8,2,0.436186919932776,0.610121350849638,1.3343949044586
8,3,0.405800655804879,0.671454075538977,1.16556291390728
8,1,0.403308287026329,0.650203195992663,1.41538461538462
8,2,0.455478336851931,0.596566928711624,1.42583732057416
8,3,0.480809531733309,0.655908044850592,1.20817843866171
8,1,0.376844696056898,0.694493330086507,1.24050632911392
8,2,0.406129554548191,0.667850496194066,1.24137931034483
8,3,0.615533462152431,0.587770854383985,1.2463768115942
8,1,0.436969511989563,0.680949325967989,1.15079365079365
8,2,0.417608568788004,0.711586340622431,1.16071428571429
